frame,date,time,quaternion_x,quaternion_y,quaternion_z,quaternion_w,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,HS,TO
17780,2024 8 08,15:42:37.565,-0.663118,0.189973,0.682401,0.241896,-0.971274,-0.102489,-0.111825,0.098059,-0.635819,-0.79317,0,0
17781,2024 8 08,15:42:37.573,-0.663128,-0.2375,0.617677,-0.349757,-0.97205,-0.106638,-0.107716,-0.189599,-0.409183,-0.536876,0,0
17782,2024 8 08,15:42:37.582,-0.663142,-0.186688,0.67864,-0.25456,-0.973793,-0.10486,-0.109905,0.322166,-0.879909,-0.648473,0,0
17783,2024 8 08,15:42:37.590,-0.663169,-0.237402,0.617615,-0.349857,-0.972486,-0.169777,-0.067271,-0.191607,-0.65915,-0.417309,0,0
17784,2024 8 08,15:42:37.598,-0.663196,-0.237368,0.617568,-0.34991,-0.970674,-0.16464,-0.070656,0.062019,-0.915796,-0.375993,0,0
17785,2024 8 08,15:42:37.607,-0.663234,-0.237324,0.617519,-0.349956,-0.969551,-0.183718,-0.096905,0.012503,-0.866851,-0.416914,0,0
17786,2024 8 08,15:42:37.615,-0.663241,-0.237316,0.617509,-0.349965,-0.969328,-0.150701,-0.114765,0.002644,-0.857106,-0.425061,0,0
17787,2024 8 08,15:42:37.623,-0.663273,-0.237283,0.617474,-0.349987,-0.973845,-0.14988,-0.028365,0.000585,-0.807532,-0.236612,0,0
17788,2024 8 08,15:42:37.632,-0.663314,-0.237255,0.617411,-0.350039,-0.972577,-0.103891,-0.107858,0.09406,-1.031516,-0.289367,0,0
17789,2024 8 08,15:42:37.640,-0.663357,-0.23721,0.617365,-0.350071,-0.973402,-0.152914,-0.044057,-0.02385,-0.896935,-0.301386,0,0
17790,2024 8 08,15:42:37.648,-0.663396,-0.237166,0.617316,-0.350113,-0.970296,-0.103893,-0.112188,-0.005932,-0.865049,-0.350086,0,0
17791,2024 8 08,15:42:37.657,-0.663423,-0.237119,0.61729,-0.35014,-0.973521,-0.107241,-0.11409,-0.092164,-0.675938,-0.407377,0,0
17792,2024 8 08,15:42:37.665,-0.66343,-0.237107,0.617283,-0.350146,-0.974342,-0.108093,-0.114574,-0.114113,-0.627802,-0.421959,0,0
17793,2024 8 08,15:42:37.673,-0.663452,-0.237075,0.617249,-0.350187,-0.969597,-0.179978,-0.078981,-0.031318,-0.880847,-0.425795,0,0
17794,2024 8 08,15:42:37.682,-0.663472,-0.237033,0.617233,-0.350206,-0.970062,-0.11143,-0.118639,-0.227776,-0.467876,-0.339266,0,0
17795,2024 8 08,15:42:37.690,-0.663488,-0.236997,0.617212,-0.350235,-0.970884,-0.112399,-0.124193,-0.152791,-0.395758,-0.35838,0,0
17796,2024 8 08,15:42:37.698,-0.663495,-0.236968,0.617194,-0.350273,-0.969408,-0.104799,-0.122364,-0.002782,-0.289391,-0.449512,0,0
17797,2024 8 08,15:42:37.707,-0.663493,-0.236938,0.617205,-0.350279,-0.97541,-0.108993,-0.116742,-0.043204,0.080825,-0.307006,0,0
17798,2024 8 08,15:42:37.715,-0.663492,-0.236929,0.617208,-0.350281,-0.977227,-0.149889,-0.00647,-0.055443,0.192926,-0.263855,0,0
17799,2024 8 08,15:42:37.723,-0.663496,-0.23692,0.617186,-0.350319,-0.971491,-0.110657,-0.114511,0.106551,-0.394012,-0.291915,0,0
17800,2024 8 08,15:42:37.732,-0.663496,-0.23692,0.617186,-0.350319,-0.969013,-0.103892,-0.117296,0.322028,-0.375332,-0.259815,0,0
17801,2024 8 08,15:42:37.740,-0.663496,-0.23692,0.617186,-0.350319,-0.971455,-0.102021,-0.11398,0.594893,-0.247524,-0.330556,0,0
17802,2024 8 08,15:42:37.748,-0.663494,-0.236904,0.617102,-0.350483,-0.974341,-0.103592,-0.115666,0.365668,-0.34035,-0.52228,0,0
17803,2024 8 08,15:42:37.757,-0.66349,-0.236875,0.617094,-0.350524,-0.972987,-0.109749,-0.112912,0.049977,-0.211422,-0.54859,0,0
17804,2024 8 08,15:42:37.765,-0.66349,-0.236875,0.617094,-0.350524,-0.972698,-0.134308,-0.110173,0.002075,-0.184281,-0.549286,0,0
