frame,date,time,quaternion_x,quaternion_y,quaternion_z,quaternion_w,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,HS,TO
17780,2024 8 08,15:42:37.565,-0.661027,-0.346869,0.588178,-0.311081,-1.039389,-0.108594,0.06075,-0.282684,-1.939522,-1.0352,0,0
17781,2024 8 08,15:42:37.573,-0.660966,-0.346945,0.588272,-0.310949,-1.038187,-0.106735,0.058883,-0.544251,-2.32398,-0.972034,0,0
17782,2024 8 08,15:42:37.582,-0.660887,-0.241058,0.620669,-0.346251,-1.039914,-0.106311,0.058349,-0.511509,-2.506275,-0.867669,0,0
17783,2024 8 08,15:42:37.590,-0.660791,-0.347113,0.588528,-0.310649,-1.041242,-0.126376,0.026272,-0.572182,-2.732789,-0.800133,0,0
17784,2024 8 08,15:42:37.598,-0.660693,-0.347197,0.588661,-0.310511,-1.041319,-0.109318,0.05425,-0.481684,-2.618549,-0.718693,0,0
17785,2024 8 08,15:42:37.607,-0.660611,0.359329,0.627345,0.202274,-1.040322,-0.108587,0.053821,-0.633144,-2.428385,-0.53473,0,0
17786,2024 8 08,15:42:37.615,-0.660584,-0.347273,0.58882,-0.310357,-1.04054,-0.108285,0.053475,-0.676314,-2.410048,-0.478583,0,0
17787,2024 8 08,15:42:37.623,-0.660501,-0.347312,0.588945,-0.310252,-1.043371,-0.128247,0.035986,-0.767552,-2.503836,-0.343523,0,0
17788,2024 8 08,15:42:37.632,-0.660412,-0.34735,0.589086,-0.310131,-1.044863,-0.057675,0.095948,-0.793834,-2.336475,-0.307667,0,0
17789,2024 8 08,15:42:37.640,-0.660335,-0.347376,0.58922,-0.310012,-1.044611,-0.127202,0.011248,-0.852497,-2.144114,-0.259372,0,0
17790,2024 8 08,15:42:37.648,-0.660258,-0.347396,0.589358,-0.309891,-1.04467,-0.106562,0.053596,-0.945703,-2.125791,-0.260329,0,0
17791,2024 8 08,15:42:37.657,-0.660196,-0.347412,0.589473,-0.309786,-1.043431,-0.10394,0.052232,-0.968616,-2.042906,-0.338946,0,0
17792,2024 8 08,15:42:37.665,-0.660174,-0.347418,0.589514,-0.309748,-1.043406,-0.103902,0.051885,-0.956277,-2.015752,-0.346843,0,0
17793,2024 8 08,15:42:37.673,-0.660117,-0.347435,0.589615,-0.309658,-1.045238,-0.107684,0.052417,-0.838142,-1.946361,-0.260351,0,0
17794,2024 8 08,15:42:37.682,-0.660059,-0.347447,0.589725,-0.30956,-1.045735,-0.119061,0.071672,-0.800166,-1.752393,-0.172993,0,0
17795,2024 8 08,15:42:37.690,-0.66001,-0.347458,0.589821,-0.309469,-1.046014,-0.106448,0.048291,-0.746256,-1.519142,-0.229317,0,0
17796,2024 8 08,15:42:37.698,-0.659969,-0.347471,0.589903,-0.309386,-1.046474,-0.106599,0.019723,-0.693731,-1.249584,-0.288325,0,0
17797,2024 8 08,15:42:37.707,-0.659939,-0.347484,0.589969,-0.309309,-1.043661,-0.108751,0.055043,-0.649594,-1.037229,-0.348096,0,0
17798,2024 8 08,15:42:37.715,-0.659921,-0.347499,0.590013,-0.309247,-1.044548,-0.107841,0.052789,-0.455077,-0.828007,-0.402425,0,0
17799,2024 8 08,15:42:37.723,-0.659913,-0.347505,0.590031,-0.309222,-1.044465,-0.110353,0.042025,-0.389126,-0.774305,-0.413676,0,0
17800,2024 8 08,15:42:37.732,-0.659897,-0.347519,0.590063,-0.309178,-1.042036,-0.111524,0.059942,-0.349354,-0.811548,-0.370694,0,0
17801,2024 8 08,15:42:37.740,-0.65988,-0.34753,0.590102,-0.309128,-1.040843,-0.10841,0.051009,-0.441725,-0.734818,-0.264602,0,0
17802,2024 8 08,15:42:37.748,-0.659854,-0.347539,0.590162,-0.309062,-1.044423,-0.108402,0.051751,-0.487735,-0.853087,-0.003107,0,0
17803,2024 8 08,15:42:37.757,-0.659829,-0.347553,0.590209,-0.309009,-1.046365,-0.108602,0.040444,-0.310079,-0.854454,-0.297062,0,0
17804,2024 8 08,15:42:37.765,-0.659813,-0.34757,0.590241,-0.308962,-1.041736,-0.070415,0.035312,-0.305379,-0.561987,-0.36334,0,0
17805,2024 8 08,15:42:37.773,-0.659812,-0.34757,0.590242,-0.30896,-1.041547,-0.108402,0.049803,-0.305187,-0.550023,-0.366051,0,0
17806,2024 8 08,15:42:37.782,-0.659803,-0.34758,0.590274,-0.308908,-1.042445,-0.128253,0.045176,-0.418755,-0.662944,-0.30941,0,0
17807,2024 8 08,15:42:37.790,-0.659785,-0.347612,0.590297,-0.308867,-1.045641,-0.107803,0.052761,-0.146688,-0.670686,-0.361498,0,0
17808,2024 8 08,15:42:37.798,-0.65977,-0.347636,0.590323,-0.308825,-1.045903,-0.108786,0.048766,-0.124434,-0.616144,-0.310583,0,0
17809,2024 8 08,15:42:37.807,-0.659758,-0.347655,0.590347,-0.308781,-1.043751,-0.114466,0.057735,-0.231132,-0.502177,-0.360166,0,0
17810,2024 8 08,15:42:37.815,-0.659748,-0.347674,0.590369,-0.308739,-1.042233,-0.099906,0.050502,-0.188916,-0.543613,-0.365479,0,0
17811,2024 8 08,15:42:37.823,-0.659746,-0.347676,0.590372,-0.308734,-1.042052,-0.108458,0.049331,-0.183878,-0.548558,-0.366114,0,0
17812,2024 8 08,15:42:37.832,-0.659739,-0.347685,0.590392,-0.308701,-1.044116,-0.109341,0.04047,-0.287632,-0.444792,-0.209574,0,0
17813,2024 8 08,15:42:37.840,-0.659729,-0.347697,0.590413,-0.30867,-1.042763,-0.10658,0.053896,-0.302439,-0.481498,-0.238749,0,0
17814,2024 8 08,15:42:37.848,-0.659718,-0.347706,0.590438,-0.308634,-1.04052,-0.108098,0.053336,-0.355559,-0.537988,-0.14156,0,0
17815,2024 8 08,15:42:37.857,-0.659697,-0.347718,0.590468,-0.308609,-1.043764,-0.109151,0.051237,-0.113401,-0.597485,-0.025169,0,0
17816,2024 8 08,15:42:37.865,-0.659679,-0.347721,0.5905,-0.308582,-1.044333,-0.137098,0.015698,-0.269066,-0.558386,-0.004739,0,0
17817,2024 8 08,15:42:37.873,-0.659676,0.187286,0.68188,0.254541,-1.044439,-0.120071,0.052038,-0.298007,-0.551117,-0.000941,0,0
17818,2024 8 08,15:42:37.882,-0.659668,-0.347722,0.590532,-0.308545,-1.045233,-0.114645,0.051486,-0.351991,-0.501382,-0.145126,0,0
