frame,date,time,quaternion_x_left,quaternion_y_left,quaternion_z_left,quaternion_w_left,accel_x_left,accel_y_left,accel_z_left,gyro_x_left,gyro_y_left,gyro_z_left,HS_left,TO_left,filtered_quaternion_x_left,filtered_quaternion_y_left,filtered_quaternion_z_left,filtered_quaternion_w_left,filtered_accel_x_left,filtered_accel_y_left,filtered_accel_z_left,filtered_gyro_x_left,filtered_gyro_y_left,filtered_gyro_z_left,quaternion_x_right,quaternion_y_right,quaternion_z_right,quaternion_w_right,accel_x_right,accel_y_right,accel_z_right,gyro_x_right,gyro_y_right,gyro_z_right,HS_right,TO_right,filtered_quaternion_x_right,filtered_quaternion_y_right,filtered_quaternion_z_right,filtered_quaternion_w_right,filtered_accel_x_right,filtered_accel_y_right,filtered_accel_z_right,filtered_gyro_x_right,filtered_gyro_y_right,filtered_gyro_z_right
12388,2024 10 19,05:25:53.220,0.703772,-0.173833,-0.643057,-0.246911,-0.914579,0.150884,-0.115726,-4.211426,-1.281738,0.305176,0,0,0.703772,-0.173833,-0.643057,-0.246911,-0.914579,0.150884,-0.115726,-4.211426,-1.281738,0.305176,0.243198,-0.635475,-0.24033,-0.692292,-1.020051,-0.035646,0.063478,0.061035,-2.380371,-6.225586,0,0,0.243198,-0.635475,-0.24033,-0.692292,-1.020051,-0.035646,0.063478,0.061035,-2.380371,-6.225586
12389,2024 10 19,05:25:53.229,0.703761,-0.174131,-0.642943,-0.247028,-0.991241,0.154302,-0.069826,-3.356934,-0.427246,-2.807617,0,0,0.70377145,-0.1738479,-0.6430513,-0.24691685,-0.9184121,0.1510549,-0.1134309999999999,-4.168701400000001,-1.2390134,0.1495363499999999,0.242839,-0.635388,-0.24072,-0.692363,-1.008332,-0.037599,0.046876,0.610352,-0.427246,-6.04248,0,0,0.24318005,-0.6354706499999999,-0.2403494999999999,-0.69229555,-1.01946505,-0.0357436499999999,0.0626479,0.0885008499999999,-2.28271475,-6.216430699999999
12390,2024 10 19,05:25:53.237,0.703939,-0.174534,-0.642663,-0.246966,-0.968291,0.124027,-0.107425,-3.112793,-2.990723,-5.554199,0,0,0.7037798274999999,-0.1738822049999999,-0.6430318849999999,-0.2469193075,-0.920906045,0.149703505,-0.1131306999999999,-4.115905980000001,-1.32659888,-0.1356504175,0.242545,-0.635264,-0.241107,-0.692444,-1.007355,-0.044435,0.047365,0.793457,0.0,-5.615234,0,0,0.2431482975,-0.6354603174999999,-0.2403873749999999,-0.6923029725,-1.0188595475,-0.0361782175,0.061883755,0.1237486575,-2.168579012499999,-6.186370864999999
12391,2024 10 19,05:25:53.245,0.704238,-0.17489,-0.642362,-0.246644,-0.929228,0.123051,-0.10596,-0.427246,-2.258301,-7.263184,0,0,0.7038027361249999,-0.1739325947499999,-0.6429983907499999,-0.246905542125,-0.92132214275,0.14837087975,-0.1127721649999999,-3.9314729810000006,-1.373183986,-0.492027096625,0.242545,-0.635264,-0.241107,-0.692444,-1.007355,-0.044435,0.047365,0.793457,0.0,-5.615234,0,0,0.2431181326249999,-0.6354505016249998,-0.2404233562499999,-0.692310023875,-1.0182843201249998,-0.036591056625,0.06115781725,0.157234074625,-2.060150061874999,-6.157814021749999
12392,2024 10 19,05:25:53.254,0.704469,-0.175218,-0.6422,-0.246173,-0.91702,0.132328,-0.128422,0.976563,-0.732422,-7.385254,0,0,0.7038360493187499,-0.1739968650124999,-0.6429584712124998,-0.24686891501875,-0.9211070356124998,0.1475687357625,-0.1135546567499999,-3.686071181950001,-1.3411458867,-0.8366884417937499,0.242253,-0.635134,-0.241461,-0.692543,-0.994171,-0.031251,0.081545,0.976563,0.0,-5.493164,0,0,0.2430748759937499,-0.6354346765437497,-0.2404752384374999,-0.69232167268125,-1.0170786541187498,-0.03632405379375,0.0621771763875,0.19820052089375,-1.957142558781249,-6.124581520662499
12393,2024 10 19,05:25:53.262,0.704612,-0.175571,-0.642115,-0.245734,-0.906766,0.135258,-0.137211,0.12207,0.854492,-6.896973,0,0,0.7038748468528123,-0.1740755717618749,-0.6429162976518749,-0.2468121692678125,-0.9203899838318748,0.1469531989743749,-0.1147374739124999,-3.4956641228525003,-1.231363992365,-1.1397026697040624,0.24206,-0.634971,-0.241864,-0.692618,-1.00296,-0.037599,0.054201,2.319336,0.0,-5.126953,0,0,0.2430241321940624,-0.6354114927165622,-0.2405446765156249,-0.6923364890471875,-1.0163727214128122,-0.0363878011040624,0.0617783675681249,0.3042572948490625,-1.8592854308421864,-6.074700094629374
12394,2024 10 19,05:25:53.270,0.704612,-0.175571,-0.642115,-0.245734,-0.906766,0.135258,-0.137211,0.12207,0.854492,-6.896973,0,0,0.7039117045101717,-0.1741503431737811,-0.6428762327692811,-0.2467582608044218,-0.9197087846402808,0.1463684390256562,-0.1158611502168749,-3.314777416709875,-1.12707119274675,-1.4275661862188591,0.241894,-0.634802,-0.242293,-0.692681,-1.007843,-0.036134,0.065432,2.685547,0.427246,-4.943848,0,0,0.2429676255843593,-0.6353810180807341,-0.2406320926898436,-0.6923537145948281,-1.0159462353421715,-0.0363751110488593,0.0619610491897187,0.4233217801066093,-1.7449588593000769,-6.018157489897905
12395,2024 10 19,05:25:53.279,0.704597,-0.17598,-0.642162,-0.245361,-0.927763,0.119144,-0.118168,-0.732422,3.112793,-5.92041,0,0,0.7039459692846631,-0.1742418260150921,-0.6428405211308169,-0.2466883977642007,-0.9201114954082668,0.1450072170743734,-0.1159764927060311,-3.185659645874381,-0.9150779831094126,-1.6522083769079163,0.241796,-0.634536,-0.242723,-0.692809,-0.992218,-0.041017,0.065432,2.990723,2.01416,-5.004883,0,0,0.2429090443051413,-0.6353387671766975,-0.2407366380553515,-0.6923764788650867,-1.0147598235750628,-0.0366072054964164,0.0621345967302328,0.5516918411012789,-1.557002916335073,-5.96749376540301
12396,2024 10 19,05:25:53.287,0.704518,-0.176359,-0.64229,-0.244981,-0.935087,0.118656,-0.101077,0.0,3.540039,-5.493164,0,0,0.70397457082043,-0.1743476847143374,-0.642812995074276,-0.2466030278759907,-0.9208602706378536,0.1436896562206547,-0.1152315180707296,-3.026376663580661,-0.6923221339539418,-1.8442561580625203,0.241724,-0.634259,-0.243143,-0.692941,-0.994659,-0.051759,0.050295,2.990723,1.647949,-4.638672,0,0,0.2428497920898842,-0.6352847788178625,-0.2408569561525839,-0.6924047049218324,-1.0137547823963096,-0.0373647952215955,0.0615426168937211,0.673643399046215,-1.3967553205183192,-5.901052677132858
12397,2024 10 19,05:25:53.295,0.704415,-0.176668,-0.64248,-0.244557,-0.9429,0.122074,-0.097659,1.342773,4.211426,-5.126953,0,0,0.7039965922794085,-0.1744637004786206,-0.6427963453205623,-0.2465007264821911,-0.9219622571059608,0.1426088734096219,-0.1143528921671931,-2.8079191804016284,-0.4471347272562447,-2.0083910001593943,0.241724,-0.634259,-0.243143,-0.692941,-0.994659,-0.051759,0.050295,2.990723,1.647949,-4.638672,0,0,0.24279350248539,-0.6352334898769693,-0.2409712583449547,-0.6924315196757407,-1.0127999932764942,-0.0380845054605157,0.0609802360490351,0.7894973790939042,-1.2445201044924032,-5.837933643276215
