frame,date,time,quaternion_x,quaternion_y,quaternion_z,quaternion_w,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,HS,TO
12388,2024 10 19,05:25:53.220,0.243198,-0.635475,-0.24033,-0.692292,-1.020051,-0.035646,0.063478,0.061035,-2.380371,-6.225586,0,0
12389,2024 10 19,05:25:53.229,0.242839,-0.635388,-0.24072,-0.692363,-1.008332,-0.037599,0.046876,0.610352,-0.427246,-6.04248,0,0
12390,2024 10 19,05:25:53.237,0.242545,-0.635264,-0.241107,-0.692444,-1.007355,-0.044435,0.047365,0.793457,0.0,-5.615234,0,0
12391,2024 10 19,05:25:53.245,0.242545,-0.635264,-0.241107,-0.692444,-1.007355,-0.044435,0.047365,0.793457,0.0,-5.615234,0,0
12392,2024 10 19,05:25:53.254,0.242253,-0.635134,-0.241461,-0.692543,-0.994171,-0.031251,0.081545,0.976563,0.0,-5.493164,0,0
12393,2024 10 19,05:25:53.262,0.24206,-0.634971,-0.241864,-0.692618,-1.00296,-0.037599,0.054201,2.319336,0.0,-5.126953,0,0
12394,2024 10 19,05:25:53.270,0.241894,-0.634802,-0.242293,-0.692681,-1.007843,-0.036134,0.065432,2.685547,0.427246,-4.943848,0,0
12395,2024 10 19,05:25:53.279,0.241796,-0.634536,-0.242723,-0.692809,-0.992218,-0.041017,0.065432,2.990723,2.01416,-5.004883,0,0
12396,2024 10 19,05:25:53.287,0.241724,-0.634259,-0.243143,-0.692941,-0.994659,-0.051759,0.050295,2.990723,1.647949,-4.638672,0,0
12397,2024 10 19,05:25:53.295,0.241724,-0.634259,-0.243143,-0.692941,-0.994659,-0.051759,0.050295,2.990723,1.647949,-4.638672,0,0
12398,2024 10 19,05:25:53.304,0.241623,-0.634001,-0.243498,-0.693087,-0.9888,-0.046876,0.069338,2.319336,2.01416,-4.455566,0,0
12399,2024 10 19,05:25:53.312,0.241573,-0.633712,-0.243843,-0.693248,-0.998077,-0.051271,0.049318,2.685547,2.380371,-4.089355,0,0
12400,2024 10 19,05:25:53.320,0.241471,-0.633449,-0.244167,-0.693409,-0.9888,-0.039064,0.081545,2.01416,1.89209,-4.516602,0,0
12401,2024 10 19,05:25:53.329,0.241377,-0.633203,-0.24455,-0.693532,-0.998566,-0.044435,0.048341,2.563477,1.403809,-4.638672,0,0
12402,2024 10 19,05:25:53.337,0.241245,-0.633008,-0.24494,-0.693618,-1.003449,-0.048341,0.071291,2.380371,0.793457,-4.699707,0,0
12403,2024 10 19,05:25:53.345,0.241245,-0.633008,-0.24494,-0.693618,-1.003449,-0.048341,0.071291,2.380371,0.793457,-4.699707,0,0
