frame,date,time,quaternion_x,quaternion_y,quaternion_z,quaternion_w,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,HS,TO
12220,2024 10 23,05:25:51.820,-0.387026,-0.581227,0.323167,-0.638709,-1.313028,0.301279,0.04297,4.821777,-87.585449,135.742188,0,0
12221,2024 10 23,05:25:51.829,-0.387026,-0.581227,0.323167,-0.638709,-1.313028,0.301279,0.04297,4.821777,-87.585449,135.742188,0,0
12222,2024 10 23,05:25:51.837,-0.376694,-0.582156,0.332874,-0.639054,-1.33842,0.257332,0.054201,2.990723,-84.777832,136.962891,0,0
12223,2024 10 23,05:25:51.845,-0.366319,-0.582858,0.342464,-0.639379,-1.371624,0.227058,0.072268,4.02832,-83.374023,137.268066,0,0
12224,2024 10 23,05:25:51.854,-0.355751,-0.583559,0.351623,-0.639736,-1.428266,0.185553,0.099612,8.972168,-82.397461,135.925293,0,0
12225,2024 10 23,05:25:51.862,-0.344951,-0.584327,0.360059,-0.640257,-1.431196,0.132817,0.104495,18.371582,-79.162598,133.239746,0,0
12226,2024 10 23,05:25:51.870,-0.333866,-0.585244,0.36766,-0.640976,-1.363323,0.084475,0.081545,26.977539,-77.819824,130.493164,0,0
12227,2024 10 23,05:25:51.879,-0.333866,-0.585244,0.36766,-0.640976,-1.363323,0.084475,0.081545,26.977539,-77.819824,130.493164,0,0
12228,2024 10 23,05:25:51.887,-0.322365,-0.586527,0.374659,-0.641636,-1.336955,0.031739,0.0459,35.27832,-82.03125,127.929688,0,0
12229,2024 10 23,05:25:51.895,-0.310489,-0.588387,0.381187,-0.641945,-1.355998,-0.016114,0.087893,41.320801,-87.95166,123.962402,0,0
12230,2024 10 23,05:25:51.904,-0.298455,-0.590556,0.387102,-0.642121,-1.403851,-0.061525,0.129398,46.936035,-88.928223,119.567871,0,0
12231,2024 10 23,05:25:51.912,-0.286612,-0.592665,0.392315,-0.64241,-1.412641,-0.149419,0.160649,51.391602,-82.702637,114.257813,0,0
12232,2024 10 23,05:25:51.920,-0.275338,-0.59448,0.39689,-0.642854,-1.371624,-0.236824,0.141606,50.415039,-75.683594,107.910156,0,0
12233,2024 10 23,05:25:51.929,-0.275338,-0.59448,0.39689,-0.642854,-1.371624,-0.236824,0.141606,50.415039,-75.683594,107.910156,0,0
12234,2024 10 23,05:25:51.937,-0.264689,-0.596178,0.401173,-0.643096,-1.359416,-0.318857,0.184088,45.471191,-73.364258,101.867676,0,0
12235,2024 10 23,05:25:51.945,-0.254944,-0.597617,0.405345,-0.643081,-1.367718,-0.382336,0.213385,37.963867,-67.810059,95.275879,0,0
12236,2024 10 23,05:25:51.954,-0.246297,-0.598645,0.40941,-0.642919,-1.337931,-0.440443,0.257332,28.991699,-60.36377,88.439941,0,0
12237,2024 10 23,05:25:51.962,-0.238763,-0.599233,0.413423,-0.642646,-1.287149,-0.499527,0.26661,19.775391,-52.91748,82.03125,0,0
12238,2024 10 23,05:25:51.970,-0.232207,-0.599453,0.417519,-0.642195,-1.23246,-0.528825,0.291025,10.986328,-47.546387,77.636719,0,0
12239,2024 10 23,05:25:51.979,-0.226324,-0.599292,0.421758,-0.641675,-1.218787,-0.536149,0.319834,4.760742,-42.724609,75.805664,0,0
12240,2024 10 23,05:25:51.987,-0.226324,-0.599292,0.421758,-0.641675,-1.218787,-0.536149,0.319834,4.760742,-42.724609,75.805664,0,0
12241,2024 10 23,05:25:51.995,-0.220987,-0.598815,0.425804,-0.641308,-1.218787,-0.586932,0.365734,3.479004,-35.583496,71.716309,0,0
12242,2024 10 23,05:25:52.004,-0.216409,-0.598127,0.429158,-0.641276,-1.155309,-0.645039,0.358898,5.065918,-26.184082,62.194824,0,0
12243,2024 10 23,05:25:52.012,-0.212624,-0.597558,0.431573,-0.641452,-1.090854,-0.704123,0.331553,7.873535,-20.629883,49.682617,0,0
12244,2024 10 23,05:25:52.020,-0.209535,-0.597253,0.433166,-0.641678,-1.049348,-0.746605,0.333995,10.009766,-16.357422,38.513184,0,0
12245,2024 10 23,05:25:52.029,-0.207117,-0.597048,0.434182,-0.641968,-1.042512,-0.744163,0.308115,9.521484,-12.268066,30.029297,0,0
12246,2024 10 23,05:25:52.037,-0.207117,-0.597048,0.434182,-0.641968,-1.042512,-0.744163,0.308115,9.521484,-12.268066,30.029297,0,0
12247,2024 10 23,05:25:52.045,-0.20524,-0.596898,0.434705,-0.642356,-1.033723,-0.766625,0.316904,10.559082,-7.629395,22.888184,0,0
12248,2024 10 23,05:25:52.054,-0.204008,-0.596773,0.434665,-0.642892,-1.058138,-0.790063,0.297372,10.986328,-2.502441,13.977051,0,0
12249,2024 10 23,05:25:52.062,-0.20355,-0.596851,0.43382,-0.643534,-1.362835,-0.974639,0.201666,13.183594,3.051758,1.342773,0,0
12250,2024 10 23,05:25:52.070,-0.206587,-0.600344,0.430477,-0.641559,-1.821833,-1.328654,2.065493,-2.319336,-20.019531,-82.275391,0,0
12251,2024 10 23,05:25:52.079,-0.217397,-0.597946,0.421679,-0.646054,-1.096713,-1.257363,-0.641133,-14.770508,151.062012,-118.225098,1,0
12252,2024 10 23,05:25:52.087,-0.217397,-0.597946,0.421679,-0.646054,-1.096713,-1.257363,-0.641133,-14.770508,151.062012,-118.225098,0,0
12253,2024 10 23,05:25:52.095,-0.231104,-0.594352,0.417082,-0.647595,-0.835963,0.554216,-0.423841,-40.83252,90.026855,-97.045898,0,0
12254,2024 10 23,05:25:52.104,-0.238404,-0.594033,0.412646,-0.648083,-1.413129,0.708518,0.415052,-30.700684,60.424805,-85.693359,0,0
12255,2024 10 23,05:25:52.112,-0.248485,-0.590392,0.405628,-0.652042,-1.043489,0.566912,-0.973663,17.456055,132.080078,-96.801758,0,0
12256,2024 10 23,05:25:52.120,-0.255852,-0.589751,0.396092,-0.655626,-0.928739,0.423353,0.313486,37.536621,77.514648,-113.098145,0,0
12257,2024 10 23,05:25:52.129,-0.263027,-0.589535,0.386042,-0.658967,-1.028352,0.100589,0.299814,38.757324,96.252441,-108.825684,0,0
12258,2024 10 23,05:25:52.137,-0.263027,-0.589535,0.386042,-0.658967,-1.028352,0.100589,0.299814,38.757324,96.252441,-108.825684,0,0
12259,2024 10 23,05:25:52.145,-0.26983,-0.588162,0.376922,-0.662712,-0.87405,-0.181646,0.123051,33.203125,80.749512,-88.806152,0,0
12260,2024 10 23,05:25:52.154,-0.275744,-0.587652,0.370953,-0.664096,-0.934599,0.083499,0.409192,6.835938,52.368164,-72.753906,0,0
12261,2024 10 23,05:25:52.162,-0.28089,-0.586867,0.366208,-0.665267,-0.925321,0.181646,-0.057131,2.502441,45.10498,-61.523438,0,0
12262,2024 10 23,05:25:52.170,-0.284052,-0.587622,0.362332,-0.66538,-1.07767,0.11182,0.006836,12.268066,15.50293,-50.598145,0,0
12263,2024 10 23,05:25:52.179,-0.286356,-0.588299,0.358656,-0.665786,-1.115757,0.086428,-0.046388,19.226074,22.460938,-41.07666,0,0
12264,2024 10 23,05:25:52.187,-0.286356,-0.588299,0.358656,-0.665786,-1.115757,0.086428,-0.046388,19.226074,22.460938,-41.07666,0,0
12265,2024 10 23,05:25:52.195,-0.288434,-0.588183,0.355055,-0.66692,-1.060091,0.074221,-0.07178,15.991211,31.066895,-34.179688,0,0
12266,2024 10 23,05:25:52.204,-0.290471,-0.587482,0.351726,-0.668416,-1.012726,0.046876,-0.012696,15.319824,36.987305,-28.320313,0,0
12267,2024 10 23,05:25:52.212,-0.292437,-0.586173,0.348717,-0.670283,-0.987335,0.036622,-0.006836,13.549805,41.809082,-21.30127,0,0
12268,2024 10 23,05:25:52.220,-0.293831,-0.584491,0.346164,-0.672461,-0.954131,0.012696,0.047853,12.268066,41.748047,-10.559082,0,0
12269,2024 10 23,05:25:52.229,-0.294691,-0.582554,0.344337,-0.6747,-0.887722,0.06006,0.132328,10.253906,38.513184,-1.281738,0,0
12270,2024 10 23,05:25:52.237,-0.294691,-0.582554,0.344337,-0.6747,-0.887722,0.06006,0.132328,10.253906,38.513184,-1.281738,0,0
12271,2024 10 23,05:25:52.245,-0.295193,-0.580813,0.343036,-0.676641,-0.865261,0.079104,0.121097,7.385254,29.47998,1.220703,0,0
12272,2024 10 23,05:25:52.254,-0.295548,-0.579837,0.342296,-0.677697,-0.926298,0.140629,0.147954,3.78418,14.770508,-0.793457,0,0
12273,2024 10 23,05:25:52.262,-0.295675,-0.579471,0.341634,-0.678289,-0.992706,0.123539,0.10596,6.04248,8.056641,-2.502441,0,0
