frame,date,time,quaternion_x,quaternion_y,quaternion_z,quaternion_w,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,HS,TO
11437,2024 10 17,09:01:35.296,0.612148,-0.488301,-0.447323,-0.432133,-1.092807,0.156255,0.079592,-5.065918,-71.044922,-81.726074,0,0
11438,2024 10 17,09:01:35.304,0.617259,-0.488412,-0.439962,-0.432294,-0.983428,0.259285,0.093265,-10.375977,-80.993652,-63.659668,0,0
11439,2024 10 17,09:01:35.312,0.622069,-0.487786,-0.432739,-0.433396,-0.712424,0.370617,0.233406,-10.131836,-86.425781,-54.016113,0,0
11440,2024 10 17,09:01:35.321,0.626137,-0.487199,-0.426474,-0.434407,-0.485855,0.521989,0.333995,-9.460449,-69.824219,-45.654297,0,0
11441,2024 10 17,09:01:35.329,0.628682,-0.487441,-0.421739,-0.435083,-0.396008,0.420423,0.26075,-16.174316,-44.677734,-36.560059,0,0
11442,2024 10 17,09:01:35.337,0.629558,-0.488266,-0.4193,-0.435247,-0.480483,0.594745,0.364757,-14.038086,-11.535645,-19.042969,0,0
11443,2024 10 17,09:01:35.346,0.629558,-0.488266,-0.4193,-0.435247,-0.480483,0.594745,0.364757,-14.038086,-11.535645,-19.042969,0,0
11444,2024 10 17,09:01:35.354,0.628918,-0.489548,-0.418644,-0.435364,-0.608905,0.591327,0.294443,-16.662598,4.150391,-7.019043,0,0
11445,2024 10 17,09:01:35.362,0.627599,-0.49099,-0.418684,-0.435605,-0.632344,0.559099,0.225593,-19.714355,12.512207,-1.037598,0,0
11446,2024 10 17,09:01:35.371,0.625959,-0.492406,-0.419121,-0.435947,-0.559099,0.52736,0.28663,-18.981934,15.74707,4.272461,0,0
11447,2024 10 17,09:01:35.379,0.623816,-0.493737,-0.420505,-0.436179,-0.565935,0.50441,0.241218,-14.709473,26.306152,12.634277,0,0
11448,2024 10 17,09:01:35.387,0.621191,-0.494771,-0.423042,-0.436301,-0.61623,0.518571,0.22071,-8.728027,36.193848,22.521973,0,0
