frame,date,time,quaternion_x_left,quaternion_y_left,quaternion_z_left,quaternion_w_left,accel_x_left,accel_y_left,accel_z_left,gyro_x_left,gyro_y_left,gyro_z_left,HS_left,TO_left,filtered_quaternion_x_left,filtered_quaternion_y_left,filtered_quaternion_z_left,filtered_quaternion_w_left,filtered_accel_x_left,filtered_accel_y_left,filtered_accel_z_left,filtered_gyro_x_left,filtered_gyro_y_left,filtered_gyro_z_left,quaternion_x_right,quaternion_y_right,quaternion_z_right,quaternion_w_right,accel_x_right,accel_y_right,accel_z_right,gyro_x_right,gyro_y_right,gyro_z_right,HS_right,TO_right,filtered_quaternion_x_right,filtered_quaternion_y_right,filtered_quaternion_z_right,filtered_quaternion_w_right,filtered_accel_x_right,filtered_accel_y_right,filtered_accel_z_right,filtered_gyro_x_right,filtered_gyro_y_right,filtered_gyro_z_right
7911,2024 10 17,09:01:05.914,-0.464219,-0.489104,0.471659,-0.568169,-1.18656,0.04297,0.00586,-4.882813,-10.864258,-98.632813,0,0,-0.464219,-0.489104,0.471659,-0.568169,-1.18656,0.04297,0.00586,-4.882813,-10.864258,-98.632813,-0.107515,0.389049,0.411866,0.816975,-0.867702,0.184088,-0.313974,29.968262,-106.994629,325.073242,0,0,-0.107515,0.389049,0.411866,0.816975,-0.867702,0.184088,-0.313974,29.968262,-106.994629,325.073242
7912,2024 10 17,09:01:05.922,-0.459914,-0.484135,0.475667,-0.572567,-1.230018,0.04297,0.010743,-4.455566,-14.221191,-102.478027,0,0,-0.46400375,-0.4888555499999999,0.4718593999999999,-0.5683889,-1.1887329,0.0429699999999999,0.00610415,-4.861450649999999,-11.03210465,-98.8250737,-0.127022,0.40902,0.403255,0.808674,-0.942412,0.123539,-0.264168,16.357422,-121.948242,320.556641,0,0,-0.10849035,0.3900475499999999,0.41143545,0.81655995,-0.8714374999999999,0.18106055,-0.3114837,29.28772,-107.74230965,324.8474119499999
7913,2024 10 17,09:01:05.930,-0.455663,-0.478628,0.479428,-0.577439,-1.133824,-0.025391,0.026856,-3.112793,-22.827148,-106.201172,0,0,-0.4635867124999999,-0.4883441724999999,0.4722378299999999,-0.5688414049999999,-1.1859874549999998,0.0395519499999999,0.0071417424999999,-4.774017767499999,-11.6218568175,-99.193878615,-0.144894,0.42938,0.393679,0.799785,-1.002472,0.105472,-0.256844,2.441406,-134.216309,312.255859,0,0,-0.1103105325,0.3920141725,0.4105476274999999,0.8157212025,-0.8779892249999999,0.1772811224999999,-0.308751715,27.9454043,-109.0660096175,324.2178343024999
7914,2024 10 17,09:01:05.939,-0.455663,-0.478628,0.479428,-0.577439,-1.133824,-0.025391,0.026856,-3.112793,-22.827148,-106.201172,0,0,-0.4631905268749999,-0.4878583638749999,0.4725973384999999,-0.5692712847499999,-1.1833792822499998,0.0363048024999999,0.0081274553749999,-4.690956529125,-12.182121376625,-99.54424328425,-0.161116,0.450102,0.383355,0.790246,-1.185095,0.094241,-0.166021,-9.460449,-146.54541,303.344727,0,0,-0.112850805875,0.3949185638749999,0.4091879961249999,0.8144474423749999,-0.8933445137499999,0.1731291163749999,-0.3016151792499999,26.075111635,-110.93997963662498,323.1741789373749
7915,2024 10 17,09:01:05.947,-0.451171,-0.472955,0.483022,-0.582621,-1.106967,-0.084475,0.095218,0.732422,-22.155762,-108.459473,0,0,-0.4625895505312499,-0.4871131956812499,0.4731185715749999,-0.5699387705124999,-1.1795586681375,0.0302658123749999,0.0124819826062499,-4.41978760266875,-12.68080340779375,-99.99000477003749,-0.161116,0.450102,0.383355,0.790246,-1.185095,0.094241,-0.166021,-9.460449,-146.54541,303.344727,0,0,-0.1152640655812499,0.3976777356812499,0.4078963463187499,0.8132373702562499,-0.9079320380625,0.1691847105562499,-0.2948354702874999,24.29833360325,-112.72025115479371,322.1827063405061
7916,2024 10 17,09:01:05.955,-0.446343,-0.467517,0.486421,-0.587878,-1.132847,-0.091311,0.06299,6.164551,-22.155762,-108.032227,0,0,-0.4617772230046874,-0.4861333858971874,0.4737836929962499,-0.5708357319868748,-1.1772230847306249,0.0241869717562499,0.0150073834759374,-3.890570672535312,-13.154551337404062,-100.3921158815356,-0.175985,0.470808,0.372343,0.780211,-1.373089,0.104984,-0.064455,-20.080566,-151.977539,295.837402,0,0,-0.1183001123021874,0.4013342488971874,0.4061186790028124,0.8115860517434373,-0.9311898861593748,0.1659746750284374,-0.2833164467731249,22.079388623087496,-114.68311554705404,320.8654411234808
7917,2024 10 17,09:01:05.964,-0.441366,-0.462102,0.48935,-0.59346,-1.097201,-0.127934,0.059084,11.413574,-25.146484,-108.276367,0,0,-0.460756661854453,-0.484931816602328,0.4745620083464373,-0.5719669453875309,-1.1732219804940935,0.0165809231684374,0.0172112143021406,-3.125363438908546,-13.754147970533856,-100.78632843745882,-0.190048,0.491112,0.360531,0.769875,-1.488815,0.135746,0.001465,-28.686523,-150.817871,293.09082,0,0,-0.1218875066870781,0.405823136452328,0.4038392950526717,0.8095004991562654,-0.9590711418514062,0.1644632412770156,-0.2690773744344686,19.54109304193312,-116.48985331970133,319.4767100673067
7918,2024 10 17,09:01:05.972,-0.436307,-0.456837,0.491757,-0.59926,-1.070833,-0.126957,0.110355,17.578125,-27.22168,-105.46875,0,0,-0.4595341787617303,-0.4835270757722116,0.4754217579291155,-0.5733315981181543,-1.1681025314693887,0.0094040270100156,0.0218684035870335,-2.0901890169631185,-14.427524572007163,-101.02044951558588,-0.203841,0.510926,0.347842,0.759216,-1.581591,0.136235,0.06006,-34.545898,-147.338867,295.532227,0,0,-0.1259851813527241,0.4110782796297116,0.4010394303000381,0.8069862741984521,-0.990197134758836,0.1630518292131648,-0.2526205057127452,16.83674348983646,-118.03230400371623,318.27948591394136
7919,2024 10 17,09:01:05.980,-0.43127,-0.451985,0.493495,-0.605127,-1.036164,0.063478,0.163579,26.000977,-28.808594,-98.999023,0,0,-0.4581209698236438,-0.481949971983601,0.4763254200326597,-0.5749213682122466,-1.1615056048959191,0.0121077256595148,0.0289539334076819,-0.6856307161149624,-15.146578043406803,-100.91937818980658,-0.217565,0.530246,0.334197,0.748209,-1.638234,0.129887,0.081545,-40.771484,-143.859863,299.926758,0,0,-0.1305641722850879,0.417036665648226,0.3976973087850362,0.8040474104885295,-1.022598978020894,0.1613935877525065,-0.2359122304271079,13.956332115344637,-119.32368195353044,317.3618495182443
7920,2024 10 17,09:01:05.989,-0.43127,-0.451985,0.493495,-0.605127,-1.036164,0.063478,0.163579,26.000977,-28.808594,-98.999023,0,0,-0.4567784213324616,-0.4804517233844209,0.4771838990310267,-0.5764316498016343,-1.1552385246511232,0.014676239376539,0.0356851867372978,0.6486996696907857,-15.829678841236465,-100.82336043031626,-0.231107,0.549228,0.319738,0.736686,-1.717826,0.099124,0.088382,-46.020508,-143.310547,303.222656,0,0,-0.1355913136708335,0.4236462323658148,0.3937993433457844,0.8006793399641029,-1.0573603291198492,0.1582801083648812,-0.2196975189057524,10.957490109577405,-120.52302520585393,316.65488984233207
