frame,date,time,quaternion_x,quaternion_y,quaternion_z,quaternion_w,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,HS,TO
3985,2024 10 17,09:00:33.198,-0.51955,0.522245,0.482415,0.473923,-1.306192,0.084964,-0.065432,-5.187988,-3.417969,-80.993652,0,0
3986,2024 10 17,09:00:33.207,-0.51955,0.522245,0.482415,0.473923,-1.306192,0.084964,-0.065432,-5.187988,-3.417969,-80.993652,0,0
3987,2024 10 17,09:00:33.215,-0.523293,0.525923,0.477679,0.470524,-1.271523,0.034669,0.019044,-6.896973,-10.131836,-93.200684,0,0
3988,2024 10 17,09:00:33.223,-0.527454,0.529947,0.47228,0.466797,-1.247597,-0.035646,-0.005371,-8.056641,-10.559082,-101.806641,0,0
3989,2024 10 17,09:00:33.232,-0.532021,0.534165,0.466639,0.462459,-1.241737,-0.057619,0.107425,-3.845215,-9.643555,-110.534668,0,0
3990,2024 10 17,09:00:33.240,-0.536812,0.538609,0.460927,0.457471,-1.198279,-0.115726,0.161626,1.342773,-5.79834,-116.455078,0,0
3991,2024 10 17,09:00:33.248,-0.541946,0.543034,0.455529,0.451555,-1.15775,-0.166509,0.230964,9.887695,0.366211,-121.765137,0,0
3992,2024 10 17,09:00:33.257,-0.541946,0.543034,0.455529,0.451555,-1.15775,-0.166509,0.230964,9.887695,0.366211,-121.765137,0,0
3993,2024 10 17,09:00:33.265,-0.547288,0.547424,0.45068,0.444623,-1.179235,-0.172857,0.228523,20.019531,8.605957,-124.572754,0,0
3994,2024 10 17,09:00:33.273,-0.552887,0.551614,0.446415,0.436752,-1.198279,-0.199713,0.252449,29.602051,15.380859,-126.708984,0,0
3995,2024 10 17,09:00:33.282,-0.558697,0.55535,0.442569,0.42846,-1.233436,-0.106449,0.208502,39.0625,15.50293,-124.938965,0,0
3996,2024 10 17,09:00:33.290,-0.565347,0.557669,0.439074,0.42024,-1.154332,0.23487,0.246101,55.908203,2.319336,-118.164063,0,0
3997,2024 10 17,09:00:33.298,-0.572122,0.55839,0.435704,0.413569,-1.023469,0.505875,0.264657,56.091309,-14.831543,-99.060059,0,0
3998,2024 10 17,09:00:33.307,-0.572122,0.55839,0.435704,0.413569,-1.023469,0.505875,0.264657,56.091309,-14.831543,-99.060059,0,0
3999,2024 10 17,09:00:33.315,-0.578155,0.55807,0.432825,0.408604,-0.823267,0.769066,0.256355,50.048828,-21.179199,-77.392578,0,0
4000,2024 10 17,09:00:33.323,-0.58244,0.557928,0.430534,0.405117,-0.668966,0.66213,0.318857,28.442383,-13.427734,-56.945801,0,0
