frame,date,time,quaternion_x,quaternion_y,quaternion_z,quaternion_w,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,HS,TO
1706,2024 8 08,15:40:23.620,0.786715,-0.475195,-0.320494,-0.229243,-0.96209,-0.212446,-0.054755,0.254807,0.809868,-0.378433,0,0
1707,2024 8 08,15:40:23.629,0.786616,-0.475189,-0.320729,-0.229266,-0.959909,-0.213112,-0.054016,0.247246,0.971303,-0.413036,0,0
1708,2024 8 08,15:40:23.637,0.786517,-0.475186,-0.320966,-0.22928,-0.961678,-0.213988,-0.060308,0.159488,0.97499,-0.59416,0,0
1709,2024 8 08,15:40:23.645,0.786414,-0.475186,-0.321212,-0.229291,-0.957799,-0.214925,-0.060813,0.133541,1.103052,-0.52074,0,0
1710,2024 8 08,15:40:23.654,0.786382,-0.475186,-0.321287,-0.229295,-0.956622,-0.215209,-0.060967,0.125673,1.141888,-0.498475,0,0
1711,2024 8 08,15:40:23.662,0.786297,-0.475186,-0.321492,-0.2293,-0.959902,-0.21596,-0.054718,0.20607,1.361058,-0.408715,0,0
1712,2024 8 08,15:40:23.670,0.786195,-0.47519,-0.321731,-0.229305,-0.961929,-0.21751,-0.053387,0.067699,1.22583,-0.462142,0,0
1713,2024 8 08,15:40:23.679,0.786099,-0.475177,-0.32198,-0.229311,-0.959343,-0.215743,-0.052955,0.306604,1.060202,-0.438955,0,0
1714,2024 8 08,15:40:23.687,0.785968,-0.475163,-0.322316,-0.229319,-0.960138,-0.214445,-0.049403,0.32149,1.081849,-0.479508,0,0
1715,2024 8 08,15:40:23.695,0.785868,-0.475165,-0.322544,-0.229336,-0.964575,-0.217649,-0.055004,-0.002272,0.790266,-0.539354,0,0
1716,2024 8 08,15:40:23.704,0.785853,-0.475165,-0.32258,-0.229338,-0.965328,-0.218242,-0.056105,-0.058543,0.734875,-0.548894,0,0
1717,2024 8 08,15:40:23.712,0.785785,-0.475145,-0.322767,-0.229349,-0.961376,-0.215478,-0.052964,0.387258,0.682766,-0.549293,0,0
1718,2024 8 08,15:40:23.720,0.785715,-0.47511,-0.32297,-0.229374,-0.957401,-0.217642,-0.048765,0.579304,0.377786,-0.500248,0,0
1719,2024 8 08,15:40:23.729,0.785646,-0.475067,-0.32318,-0.229405,-0.957802,-0.214734,-0.045221,0.51103,0.359619,-0.392563,0,0
1720,2024 8 08,15:40:23.737,0.785584,-0.475018,-0.323377,-0.229442,-0.960303,-0.213576,-0.054809,0.776524,0.079532,-0.368762,0,0
1721,2024 8 08,15:40:23.745,0.785522,-0.474963,-0.323575,-0.229489,-0.956757,-0.215663,-0.057687,0.563923,0.102716,-0.272478,0,0
1722,2024 8 08,15:40:23.754,0.785508,-0.47495,-0.32362,-0.229501,-0.955737,-0.216236,-0.058056,0.497489,0.119714,-0.24759,0,0
1723,2024 8 08,15:40:23.762,0.785459,-0.474902,-0.323775,-0.229547,-0.959638,-0.213744,-0.050418,0.62669,0.030304,-0.198876,0,0
1724,2024 8 08,15:40:23.770,0.785403,-0.474843,-0.323962,-0.229597,-0.957165,-0.215547,-0.053639,0.890448,-0.040707,-0.320732,0,0
1725,2024 8 08,15:40:23.779,0.785347,-0.474784,-0.324155,-0.229639,-0.956965,-0.216551,-0.05458,0.562452,0.164716,-0.448113,0,0
1726,2024 8 08,15:40:23.787,0.785286,-0.474732,-0.324347,-0.229682,-0.958802,-0.21641,-0.052211,0.625643,0.055098,-0.393683,0,0
1727,2024 8 08,15:40:23.795,0.785226,-0.474682,-0.324529,-0.229733,-0.956602,-0.216679,-0.057336,0.576497,0.009832,-0.371113,0,0
1728,2024 8 08,15:40:23.804,0.785162,-0.474635,-0.324715,-0.229788,-0.960923,-0.217122,-0.05367,0.640073,0.001858,-0.281516,0,0
1729,2024 8 08,15:40:23.812,0.785143,-0.474621,-0.32477,-0.229804,-0.962522,-0.217258,-0.05214,0.665151,0.00037,-0.251583,0,0
1730,2024 8 08,15:40:23.820,0.785099,-0.474577,-0.324905,-0.229855,-0.958829,-0.264772,0.019391,0.586591,-0.125161,-0.203951,0,0
1731,2024 8 08,15:40:23.829,0.785045,-0.474519,-0.325076,-0.229915,-0.958107,-0.21655,-0.052899,0.681172,-0.129193,-0.2289,0,0
1732,2024 8 08,15:40:23.837,0.784991,-0.474452,-0.325256,-0.229983,-0.959357,-0.218925,-0.055278,0.679989,-0.205163,-0.118462,0,0
1733,2024 8 08,15:40:23.845,0.784938,-0.474378,-0.325444,-0.230053,-0.96145,-0.212904,-0.04786,0.713675,-0.154392,-0.034431,0,0
1734,2024 8 08,15:40:23.854,0.78488,-0.474308,-0.325632,-0.230129,-0.960599,-0.212708,-0.052038,0.688031,-0.13004,-0.048258,0,0
1735,2024 8 08,15:40:23.862,0.78486,-0.474284,-0.325697,-0.230155,-0.960146,-0.216215,-0.054398,0.675637,-0.124106,-0.057772,0,0
