frame,date,time,quaternion_x_left,quaternion_y_left,quaternion_z_left,quaternion_w_left,accel_x_left,accel_y_left,accel_z_left,gyro_x_left,gyro_y_left,gyro_z_left,HS_left,TO_left,filtered_quaternion_x_left,filtered_quaternion_y_left,filtered_quaternion_z_left,filtered_quaternion_w_left,filtered_accel_x_left,filtered_accel_y_left,filtered_accel_z_left,filtered_gyro_x_left,filtered_gyro_y_left,filtered_gyro_z_left,quaternion_x_right,quaternion_y_right,quaternion_z_right,quaternion_w_right,accel_x_right,accel_y_right,accel_z_right,gyro_x_right,gyro_y_right,gyro_z_right,HS_right,TO_right,filtered_quaternion_x_right,filtered_quaternion_y_right,filtered_quaternion_z_right,filtered_quaternion_w_right,filtered_accel_x_right,filtered_accel_y_right,filtered_accel_z_right,filtered_gyro_x_right,filtered_gyro_y_right,filtered_gyro_z_right
22123,2024 8 08,15:43:13.755,-0.26904,-0.618414,0.32756,-0.661729,-0.982568,-0.08607,-0.013499,2.603129,-4.429358,-1.04029,0,0,-0.26904,-0.618414,0.32756,-0.661729,-0.982568,-0.08607,-0.013499,2.603129,-4.429358,-1.04029,-0.297017,-0.650402,0.226967,-0.661244,-1.040003,-0.108656,0.036003,0.075492,-1.552607,-1.347369,0,0,-0.297017,-0.650402,0.226967,-0.661244,-1.040003,-0.108656,0.036003,0.075492,-1.552607,-1.347369
22124,2024 8 08,15:43:13.763,-0.268972,-0.618209,0.327364,-0.662046,-0.983178,-0.084594,-0.006701,2.748051,-4.447932,-0.951869,0,0,-0.2690365999999999,-0.61840375,0.3275502,-0.66174485,-0.9825985,-0.0859962,-0.0131591,2.6103751,-4.430286699999999,-1.0358689499999998,-0.297051,-0.650519,0.226939,-0.661124,-1.041089,-0.126938,0.024745,-0.151034,-1.879714,-1.214344,0,0,-0.2970186999999999,-0.65040785,0.2269656,-0.661238,-1.0400573,-0.1095701,0.0354401,0.0641657,-1.5689623499999998,-1.34071775
22125,2024 8 08,15:43:13.772,-0.268904,-0.617993,0.327159,-0.662376,-0.982327,-0.084168,-0.009876,2.704242,-4.453283,-0.926397,0,0,-0.2690299699999999,-0.6183832125,0.32753064,-0.6617764075,-0.982584925,-0.08590479,-0.012994945,2.6150684449999995,-4.431436514999999,-1.0303953524999998,-0.297066,-0.650563,0.226933,-0.661076,-1.041495,-0.104753,0.030803,-0.256783,-1.945026,-1.152884,0,0,-0.297021065,-0.6504156074999999,0.2269639699999999,-0.6612299,-1.0401291849999998,-0.1093292449999999,0.035208245,0.048118265,-1.5877655324999995,-1.3313260625
22126,2024 8 08,15:43:13.780,-0.268834,-0.617781,0.326942,-0.662709,-0.982075,-0.080996,-0.0142,2.818221,-4.412553,-0.834235,0,0,-0.2690201714999999,-0.6183531018749999,0.327501208,-0.6618230371249999,-0.98255942875,-0.0856593505,-0.01305519775,2.6252260727499994,-4.430492339249999,-1.020587334875,-0.297104,-0.650654,0.226946,-0.660965,-1.041559,-0.106292,0.057774,-0.589982,-1.775666,-0.959727,0,0,-0.2970252117499999,-0.6504275271249998,0.2269630714999999,-0.661216655,-1.0402006757499995,-0.10917738275,0.03633653275,0.0162132517499999,-1.5971605558749995,-1.3127461093749997
22127,2024 8 08,15:43:13.788,-0.268767,-0.617567,0.326736,-0.663037,-0.983338,-0.080703,-0.014508,2.727235,-4.358337,-0.889984,0,0,-0.2690075129249999,-0.61831379678125,0.3274629475999999,-0.6618837352687499,-0.9825983573125,-0.085411532975,-0.0131278378625,2.6303265191125,-4.4268845722874985,-1.0140571681312498,-0.297166,-0.650739,0.226992,-0.660838,-1.037615,-0.111216,0.033509,-1.031602,-1.688079,-0.697491,0,0,-0.2970322511624999,-0.6504431007687498,0.2269645179249999,-0.66119772225,-1.0400713919624998,-0.1092793136125,0.0361951561124999,-0.0361775108374999,-1.6017064780812498,-1.2819833539062495
22128,2024 8 08,15:43:13.797,-0.268747,-0.617501,0.326672,-0.663139,-0.983731,-0.080612,-0.014604,2.698951,-4.341483,-0.907315,0,0,-0.2689944872787499,-0.6182731569421874,0.3274234002199999,-0.6619464985053123,-0.9826549894468748,-0.0851715563262499,-0.013201645969375,2.6337577431568744,-4.422614493673124,-1.0087200597246873,-0.297242,-0.650805,0.227078,-0.660708,-1.037186,-0.109656,0.033929,-1.496787,-1.655253,-0.433532,0,0,-0.2970427386043749,-0.6504611957303124,0.2269701920287499,-0.6611732361375,-1.039927122364375,-0.1092981479318749,0.036081848306875,-0.109207985295625,-1.6043838041771872,-1.239560786210937
22129,2024 8 08,15:43:13.805,-0.268687,-0.617341,0.326515,-0.66339,-0.983856,-0.105088,0.050786,2.689953,-4.213201,-0.953802,0,0,-0.2689791129148124,-0.618226549095078,0.3273779802089999,-0.6620186735800466,-0.9827150399745312,-0.0861673785099374,-0.0100022636709062,2.6365675059990306,-4.412143818989467,-1.0059741567384528,-0.297311,-0.65086,0.227191,-0.660584,-1.039132,-0.106998,0.037411,-1.64143,-1.609376,-0.107063,0,0,-0.2970561516741561,-0.6504811359437968,0.2269812324273124,-0.661143774330625,-1.039887366246156,-0.1091831405352812,0.0361483058915312,-0.1858190860308437,-1.6046334139683278,-1.18293589690039
22130,2024 8 08,15:43:13.813,-0.268622,-0.617144,0.326329,-0.66369,-0.982274,-0.119806,0.007138,2.524843,-4.252567,-0.928376,0,0,-0.2689612572690718,-0.6181724216403242,0.3273255311985498,-0.6621022399010442,-0.9826929879758046,-0.0878493095844406,-0.0091452504873609,2.630981280699079,-4.404164978039994,-1.00209424890153,-0.297366,-0.650905,0.227289,-0.660481,-1.043972,-0.105011,0.034616,-1.443032,-1.594455,-0.035941,0,0,-0.2970716440904483,-0.6505023291466069,0.2269966208059468,-0.6611106356140937,-1.040091597933848,-0.1089745335085171,0.0360716905969546,-0.2486797317293015,-1.6041244932699112,-1.1255861520553705
22131,2024 8 08,15:43:13.822,-0.268535,-0.616857,0.326088,-0.664111,-0.981486,-0.085378,-0.01063,2.182019,-4.220107,-1.071979,0,0,-0.2689399444056182,-0.6181066505583079,0.3272636546386223,-0.662202677905992,-0.9826326385770144,-0.0877257441052185,-0.0092194879629928,2.608533166664125,-4.3949620791379935,-1.0055884864564535,-0.297394,-0.650927,0.227338,-0.66043,-1.046387,-0.112293,0.047879,-1.34408,-1.587012,-0.000468,0,0,-0.2970877618859259,-0.6505235626892765,0.2270136897656494,-0.661076603833389,-1.0404063680371556,-0.1091404568330913,0.0366620560671069,-0.3034497451428364,-1.6032688686064156,-1.0693302444526018
22132,2024 8 08,15:43:13.830,-0.268484,-0.616638,0.325928,-0.664413,-0.978192,-0.088733,-0.015408,2.137517,-4.160371,-0.995286,0,0,-0.2689171471853372,-0.6180332180303926,0.3271968719066911,-0.6623131940106923,-0.9824106066481636,-0.0877761068999576,-0.0095289135648432,2.584982358330919,-4.383232525181094,-1.0050733621336307,-0.297433,-0.650983,0.227447,-0.66032,-1.049265,-0.121961,0.060208,-1.224171,-1.408958,-1.3e-05,0,0,-0.2971050237916296,-0.6505465345548126,0.2270353552773669,-0.6610387736417195,-1.0408492996352978,-0.1097814839914367,0.0378393532637515,-0.3494858078856946,-1.5935533251760947,-1.0158643822299718
22133,2024 8 08,15:43:13.838,-0.268448,-0.616427,0.325765,-0.664704,-0.983659,-0.086502,-0.018168,1.883651,-4.049763,-0.825782,0,0,-0.2688936898260703,-0.6179529071288729,0.3271252783113565,-0.6624327343101577,-0.9824730263157552,-0.0877124015549597,-0.009960867886601,2.549915790414373,-4.366559048922039,-0.9961087940269492,-0.29746,-0.651023,0.227515,-0.660245,-1.052617,-0.100613,0.026721,-0.928717,-0.995041,-1e-06,0,0,-0.2971227726020481,-0.650570357827072,0.2270593375134986,-0.6609990849596334,-1.041437684653533,-0.1093230597918649,0.037283435600564,-0.3784473674914099,-1.56362770891729,-0.9650712131184732
22134,2024 8 08,15:43:13.847,-0.268442,-0.616391,0.325737,-0.664753,-0.984823,-0.085972,-0.018533,1.834049,-4.029541,-0.795297,0,0,-0.2688711053347668,-0.6178748117724292,0.3270558643957887,-0.6625487475946498,-0.9825905249999676,-0.0876253814772117,-0.010389474492271,2.5141224508936544,-4.349708146475937,-0.9860682043256016,-0.297496,-0.651059,0.227552,-0.660181,-1.044008,-0.107958,0.033756,-0.570914,-0.747372,-0.287803,0,0,-0.2971414339719457,-0.6505947899357184,0.2270839706378236,-0.6609581807116517,-1.041566200420856,-0.1092548068022716,0.0371070638205358,-0.3880706991168394,-1.5228149234714252,-0.9312078024625496
22135,2024 8 08,15:43:13.855,-0.268413,-0.616222,0.3256,-0.664989,-0.979002,-0.088689,-0.022085,1.978418,-3.930306,-0.744537,0,0,-0.2688482000680284,-0.6177921711838077,0.3269830711759993,-0.6626707602149172,-0.982411098749969,-0.0876785624033511,-0.0109742507676574,2.4873372283489714,-4.32873803915214,-0.9739916441093214,-0.297536,-0.6511,0.227589,-0.660109,-1.043526,-0.114222,0.054179,-0.607563,-1.017078,-0.417387,0,0,-0.2971611622733485,-0.6506200504389325,0.2271092221059324,-0.660915721676069,-1.0416641903998132,-0.109503166462158,0.037960660629509,-0.3990453141609974,-1.497528077297854,-0.905516762339422
22136,2024 8 08,15:43:13.863,-0.268374,-0.578981,0.417769,-0.646703,-0.98001,-0.151852,-0.00585,1.817778,-3.76324,-0.685096,0,0,-0.268824490064627,-0.6158516126246173,0.3315223676171994,-0.6618723722041713,-0.9822910438124706,-0.0908872342831836,-0.0107180382292745,2.4538592669315227,-4.300463137194533,-0.9595468619038552,-0.297583,-0.651154,0.227642,-0.660016,-1.043492,-0.131329,0.008353,-0.889632,-1.315387,-0.538223,0,0,-0.2971822541596811,-0.6506467479169858,0.2271358610006358,-0.6608707355922656,-1.0417555808798225,-0.1105944581390501,0.0364802775980335,-0.4235746484529475,-1.4884210234329611,-0.8871520742224509
22137,2024 8 08,15:43:13.872,-0.26834,-0.615851,0.325282,-0.665517,-0.981214,-0.089532,-0.01999,1.822314,-3.679379,-0.529744,0,0,-0.2688002655613956,-0.6158515819933864,0.3312103492363394,-0.6620546035939627,-0.982237191621847,-0.0908194725690244,-0.0111816363178108,2.4222820035849466,-4.269408930334806,-0.9380567188086624,-0.297587,-0.651159,0.227646,-0.660008,-1.043489,-0.11039,0.042974,-0.913013,-1.340115,-0.548239,0,0,-0.297202491451697,-0.6506723605211364,0.227161367950604,-0.6608275988126523,-1.0418422518358312,-0.1105842352320976,0.0368049637181318,-0.4480465660303002,-1.481005722261313,-0.8702064205113282
22138,2024 8 08,15:43:13.880,-0.268311,-0.615668,0.325122,-0.665776,-0.982574,-0.082728,-0.023659,1.830096,-3.664004,-0.633804,0,0,-0.2687758022833258,-0.6158424028937171,0.3309059317745224,-0.6622406734142646,-0.9822540320407546,-0.0904148989405732,-0.0118055045019203,2.392672703405699,-4.239138683818066,-0.9228440828682292,-0.29763,-0.651219,0.227682,-0.659917,-1.046532,-0.120061,0.004506,-0.806575,-1.288144,-0.603536,0,0,-0.2972238668791122,-0.6506996924950796,0.2271873995530738,-0.6607820688720197,-1.0420767392440395,-0.1110580734704927,0.0351900155322252,-0.4659729877287852,-1.4713626361482477,-0.8568728994857618
22139,2024 8 08,15:43:13.888,-0.268306,-0.615473,0.324982,-0.666027,-0.982154,-0.082686,-0.023639,1.321171,-3.662341,-0.574116,0,0,-0.2687523121691595,-0.6158239327490311,0.3306097351857963,-0.6624299897435514,-0.9822490304387168,-0.0900284539935445,-0.0123971792768243,2.339097618235414,-4.210298799627163,-0.9054076787248178,-0.297661,-0.6513,0.22769,-0.659821,-1.050291,-0.106439,-0.063189,-0.41994,-1.443285,-0.770285,0,0,-0.2972457235351565,-0.6507297078703256,0.2272125295754201,-0.6607340154284187,-1.0424874522818377,-0.1108271197969681,0.030271064755614,-0.4636713383423459,-1.469958754340835,-0.8525435045114736
22140,2024 8 08,15:43:13.897,-0.268306,-0.615473,0.324982,-0.666027,-0.981989,-0.082967,-0.023465,1.181304,-3.66214,-0.552639,0,0,-0.2687299965607015,-0.6158063861115796,0.3303283484265065,-0.6626098402563738,-0.982236028916781,-0.0896753812938673,-0.012950570312983,2.281207937323644,-4.182890859645804,-0.8877692447885768,-0.297698,-0.651398,0.22769,-0.659708,-1.049898,-0.105482,0.029496,-0.109115,-1.514814,-0.948929,0,0,-0.2972683373583987,-0.6507631224768093,0.2272364030966491,-0.6606827146569978,-1.0428579796677455,-0.1105598638071197,0.0302323115178333,-0.4459435214252286,-1.4722015166237934,-0.8573627792859
22141,2024 8 08,15:43:13.905,-0.268309,-0.615275,0.324864,-0.666266,-0.981606,-0.088055,-0.02236,0.93733,-3.526821,-0.639995,0,0,-0.2687089467326665,-0.6157798168060006,0.3300551310051812,-0.6627926482435551,-0.982204527470942,-0.0895943622291739,-0.0134210417973339,2.214014040457461,-4.150087366663513,-0.8753805325491479,-0.297735,-0.651498,0.227673,-0.659598,-1.046925,-0.10297,0.028075,-0.328779,-1.367822,-1.076836,0,0,-0.2972916704904788,-0.6507998663529688,0.2272582329418166,-0.6606284789241478,-1.043061330684358,-0.1101803706167637,0.0301244459419416,-0.4400852953539671,-1.4669825407926036,-0.868336440321605
22142,2024 8 08,15:43:13.913,-0.268311,-0.615668,0.325122,-0.665776,-0.983276,-0.087785,-0.024526,1.000991,-3.397508,-0.577461,0,0,-0.2686890493960331,-0.6157742259657005,0.3298084744549221,-0.6629418158313773,-0.9822581010973948,-0.0895038941177152,-0.0139762897074672,2.153362888434588,-4.112458398330338,-0.8604845559216905,-0.297773,-0.651595,0.227644,-0.659495,-1.046086,-0.100165,0.007087,-0.10305,-1.295247,-1.14667,0,0,-0.2973157369659548,-0.6508396230353204,0.2272775212947258,-0.6605718049779404,-1.0432125641501402,-0.1096796020859255,0.0289725736448445,-0.4232335305862687,-1.4583957637529734,-0.8822531183055247
22143,2024 8 08,15:43:13.922,-0.268324,-0.614907,0.324649,-0.666704,-0.98135,-0.087469,-0.024192,1.03145,-3.407666,-0.510126,0,0,-0.2686707969262314,-0.6157308646674154,0.329550500732176,-0.6631299250398085,-0.982212696042525,-0.0894021494118294,-0.0144870752220938,2.097267244012858,-4.077218778413821,-0.8429666281256059,-0.297779,-0.65161,0.22764,-0.659479,-1.045957,-0.096214,0.008462,-0.068091,-1.284007,-1.157485,0,0,-0.297338900117657,-0.6508781418835543,0.2272956452299895,-0.6605171647290434,-1.043349785942633,-0.1090063219816292,0.0279470449626023,-0.4054764040569553,-1.4496763255653249,-0.8960147123902484
22144,2024 8 08,15:43:13.930,-0.268327,-0.614722,0.324525,-0.666934,-0.982385,-0.087763,-0.022934,1.036499,-3.502829,-0.492185,0,0,-0.2686536070799199,-0.6156804214340447,0.3292992256955672,-0.663320128787818,-0.9822213112403988,-0.0893201919412379,-0.0149094214609891,2.044228831812215,-4.0484992894931295,-0.8254275467193255,-0.297821,-0.651682,0.227624,-0.659394,-1.048742,-0.109324,0.040436,-0.162553,-1.081629,-1.059021,0,0,-0.2973630051117742,-0.6509183347893766,0.22731206296849,-0.6604610064925912,-1.0436193966455014,-0.1090222058825478,0.0285714927144722,-0.3933302338541075,-1.4312739592870585,-0.904165026770736
22145,2024 8 08,15:43:13.938,-0.268325,-0.614539,0.324392,-0.667169,-0.978042,-0.086842,-0.021181,1.336977,-3.533,-0.48902,0,0,-0.2686371767259239,-0.6156233503623424,0.3290538644107888,-0.6635125723484271,-0.9820123456783788,-0.089196282344176,-0.0152230003879397,2.008866240221604,-4.022724325018473,-0.8086071693833592,-0.297864,-0.651759,0.227596,-0.659308,-1.038544,-0.10818,0.021902,-0.179218,-1.392355,-0.942671,0,0,-0.2973880548561854,-0.6509603680499078,0.2273262598200655,-0.6604033561679616,-1.0433656268132263,-0.1089800955884204,0.0282380180787486,-0.3826246221614021,-1.4293280113227051,-0.9060903254321993
22146,2024 8 08,15:43:13.947,-0.268324,-0.614907,0.324649,-0.666704,-0.97649,-0.086511,-0.020643,1.439351,-3.538636,-0.488428,0,0,-0.2686215178896277,-0.6155875328442253,0.3288336211902494,-0.6636721437310057,-0.98173622839446,-0.0890620182269672,-0.0154940003685427,1.980390478210524,-3.998519908767549,-0.7925982109141912,-0.297886,-0.651882,0.227591,-0.659178,-1.044067,-0.096638,0.001409,-0.18233,-1.841327,-0.920939,0,0,-0.2974129521133761,-0.6510064496474123,0.2273394968290622,-0.6603420883595635,-1.043400695472565,-0.1083629908089993,0.0268965671748111,-0.372609891053332,-1.4499279607565698,-0.9068327591605893
22147,2024 8 08,15:43:13.955,-0.268337,-0.614345,0.324257,-0.667407,-0.97919,-0.090786,-0.021204,1.250837,-3.58148,-0.36311,0,0,-0.2686072919951462,-0.615525406202014,0.3286047901307369,-0.6638588865444554,-0.981608916974737,-0.0891482173156188,-0.0157795003501156,1.9439128042999976,-3.977667913329172,-0.7711238003684816,-0.297906,-0.651986,0.227592,-0.659065,-1.040521,-0.108591,0.049724,-0.279462,-1.736686,-0.723622,0,0,-0.2974376045077073,-0.6510554271650416,0.227352121987609,-0.6602782339415854,-1.0432567106989368,-0.1083743912685494,0.0280379388160706,-0.3679524965006653,-1.4642658627187413,-0.8976722212025596
22148,2024 8 08,15:43:13.963,-0.26834,-0.615851,0.325282,-0.665517,-0.979882,-0.118856,0.028575,1.179636,-3.514339,-0.276643,0,0,-0.2685939273953889,-0.6155416858919133,0.3284386506242,-0.6639417922172326,-0.981522571126,-0.0906336064498379,-0.0135617753326098,1.9056989640849973,-3.954501467662713,-0.7463997603500575,-0.297936,-0.652082,0.227637,-0.658942,-1.045508,-0.129791,0.022939,-0.728546,-1.572051,-0.539827,0,0,-0.2974625242823219,-0.6511067558067896,0.2273663658882286,-0.660211422244506,-1.0433692751639898,-0.1094452217051219,0.027782991875267,-0.3859821716756321,-1.4696551195828045,-0.8797799601424315
22149,2024 8 08,15:43:13.972,-0.268349,-0.614017,0.323979,-0.66784,-0.979004,-0.124904,-0.051318,1.286396,-3.405634,-0.251567,0,0,-0.2685816810256194,-0.6154654515973176,0.32821566809299,-0.6641367026063709,-0.9813966425697,-0.092347126127346,-0.0154495865659793,1.874733815880748,-3.927058094279577,-0.7216581223325546,-0.297943,-0.652103,0.227647,-0.658915,-1.046587,-0.110482,0.041627,-0.825714,-1.536429,-0.500059,0,0,-0.2974865480682058,-0.65115656801645,0.2273803975938171,-0.6601466011322806,-1.0435301614057904,-0.1094970606198658,0.0284751922815037,-0.4079687630918504,-1.472993813603664,-0.8607939121353099
22150,2024 8 08,15:43:13.980,-0.268362,-0.61385,0.323864,-0.668044,-0.982517,-0.181467,-0.02352,1.0075,-3.086875,-0.447075,0,0,-0.2685706969743385,-0.6153846790174516,0.3279980846883405,-0.6643320674760524,-0.981452660441215,-0.0968031198209787,-0.0158531072376803,1.83137212508671,-3.885048939565598,-0.7079289662159267,-0.297959,-0.652146,0.227678,-0.658855,-1.042737,-0.130218,0.007937,-0.521979,-1.202716,-0.258459,0,0,-0.2975101706647955,-0.6512060396156275,0.2273952777141263,-0.6600820210756666,-1.0434905033355006,-0.1105331075888725,0.0274482826674285,-0.4136692749372579,-1.4594799229234807,-0.8306771665285443
