frame,date,time,quaternion_x_left,quaternion_y_left,quaternion_z_left,quaternion_w_left,accel_x_left,accel_y_left,accel_z_left,gyro_x_left,gyro_y_left,gyro_z_left,HS_left,TO_left,filtered_quaternion_x_left,filtered_quaternion_y_left,filtered_quaternion_z_left,filtered_quaternion_w_left,filtered_accel_x_left,filtered_accel_y_left,filtered_accel_z_left,filtered_gyro_x_left,filtered_gyro_y_left,filtered_gyro_z_left,quaternion_x_right,quaternion_y_right,quaternion_z_right,quaternion_w_right,accel_x_right,accel_y_right,accel_z_right,gyro_x_right,gyro_y_right,gyro_z_right,HS_right,TO_right,filtered_quaternion_x_right,filtered_quaternion_y_right,filtered_quaternion_z_right,filtered_quaternion_w_right,filtered_accel_x_right,filtered_accel_y_right,filtered_accel_z_right,filtered_gyro_x_right,filtered_gyro_y_right,filtered_gyro_z_right
3246,2024 10 19,05:24:37.040,-0.337504,0.660745,0.369362,0.559535,-0.936552,0.032716,-0.087893,0.915527,-0.976563,1.89209,0,0,-0.337504,0.660745,0.369362,0.559535,-0.936552,0.032716,-0.087893,0.915527,-0.976563,1.89209,0.581662,0.626103,-0.151935,0.496569,-0.366222,1.485397,-0.776879,11.901855,-21.362305,-13.061523,0,0,0.581662,0.626103,-0.151935,0.496569,-0.366222,1.485397,-0.776879,11.901855,-21.362305,-13.061523
3247,2024 10 19,05:24:37.048,-0.337513,0.660538,0.369483,0.559693,-0.936552,0.029298,-0.085452,0.976563,-0.854492,2.197266,0,0,-0.33750445,0.66073465,0.36936805,0.5595429000000001,-0.936552,0.0325451,-0.08777095,0.9185788,-0.97045945,1.9073488,0.579678,0.628985,-0.153157,0.494868,-0.258797,1.507859,-1.014679,24.536133,-44.433594,0.061035,0,0,0.5815627999999999,0.6262471,-0.1519960999999999,0.49648395,-0.3608507499999999,1.4865201,-0.7887689999999999,12.5335689,-22.51586945,-12.4053951
3248,2024 10 19,05:24:37.057,-0.337518,0.660311,0.36962,0.559868,-0.93997,0.033204,-0.089358,1.037598,-1.037598,2.441406,0,0,-0.3375051275,0.6607134674999999,0.3693806475,0.5595591550000001,-0.9367229,0.032578045,-0.0878503024999999,0.92452976,-0.9738163774999998,1.93405166,0.575825,0.633734,-0.157159,0.492044,-0.41554,1.566942,-0.78225,31.12793,-85.083008,21.972656,0,0,0.58127591,0.6266214449999998,-0.1522542449999999,0.4962619525,-0.3635852124999999,1.4905411949999998,-0.7884430499999999,13.463286954999996,-25.6442263775,-10.686492544999998
3249,2024 10 19,05:24:37.065,-0.337526,0.660063,0.369766,0.560058,-0.9429,0.032228,-0.086428,1.098633,-1.342773,2.624512,0,0,-0.337506171125,0.6606809441249999,0.369399915125,0.5595840972500001,-0.937031755,0.03256054275,-0.0877791873749999,0.9332349219999998,-0.9922642086249998,1.968574677,0.570352,0.639234,-0.163554,0.489212,-0.5674,1.531297,-0.751488,34.057617,-104.492188,46.630859,0,0,0.5807297145,0.6272520727499998,-0.1528192327499999,0.495909454875,-0.3737759518749999,1.4925789852499998,-0.7865952974999999,14.493003457249996,-29.586624458625,-7.820624967749997
3250,2024 10 19,05:24:37.073,-0.33754,0.659799,0.369898,0.560275,-0.943876,0.032716,-0.08594,0.915527,-1.708984,2.624512,0,0,-0.3375078625687499,0.6606368469187499,0.3694248193687499,0.5596186423875,-0.93737396725,0.0325683156124999,-0.0876872280062499,0.9323495258999998,-1.0281001981937496,2.00137154315,0.570352,0.639234,-0.163554,0.489212,-0.5674,1.531297,-0.751488,34.057617,-104.492188,46.630859,0,0,0.580210828775,0.6278511691124998,-0.1533559711124999,0.4955745821312499,-0.3834571542812499,1.4945148859874997,-0.7848399326249998,15.471234134387496,-33.331902635693744,-5.098050769362497
3251,2024 10 19,05:24:37.082,-0.337557,0.659515,0.370032,0.560511,-0.937529,0.032716,-0.08301,1.037598,-2.01416,2.746582,0,0,-0.3375103194403124,0.6605807545728124,0.3694551784003124,0.559663260268125,-0.9373817188874998,0.032575699831875,-0.0874533666059374,0.9376119496049996,-1.077403188284062,2.0386320659925,0.563522,0.645075,-0.172231,0.486475,-0.713889,1.436079,-0.63039,32.592773,-122.924805,70.373535,0,0,0.57937638733625,0.6287123606568747,-0.1542997225568749,0.4951196030246874,-0.3999787465671873,1.4915930916881248,-0.7771174359937498,16.32731107766812,-37.81154775390905,-1.3244714808943718
3252,2024 10 19,05:24:37.090,-0.337557,0.659515,0.370032,0.560511,-0.937529,0.032716,-0.08301,1.037598,-2.01416,2.746582,0,0,-0.3375126534682967,0.6605274668441717,0.3694840194802968,0.5597056472547186,-0.9373890829431248,0.0325827148402812,-0.0872311982756405,0.9426112521247496,-1.1242410288698588,2.0740295626928744,0.55581,0.650606,-0.182875,0.48409,-0.806177,1.332072,-0.560076,25.512695,-131.286621,92.163086,0,0,0.5781980679694375,0.629807042624031,-0.1557284864290312,0.494568122873453,-0.4202886592388279,1.4836170371037185,-0.7662653641940623,16.786580273784715,-42.4853014162136,3.349906393150348
3253,2024 10 19,05:24:37.098,-0.337596,0.659221,0.370176,0.560737,-0.94583,0.042482,-0.087893,1.403809,-1.831055,2.624512,0,0,-0.3375168207948819,0.6604621435019632,0.3695186185062819,0.5597572148919826,-0.9378111287959684,0.0330776790982671,-0.0872642883618585,0.9656711395185122,-1.1595817274263658,2.1015536845582306,0.547512,0.655608,-0.195569,0.481832,-0.910672,1.259316,-0.457533,14.343262,-143.005371,112.304688,0,0,0.5766637645709656,0.6310970904928295,-0.1577205121075796,0.4939313167297803,-0.4448078262768865,1.4724019852485324,-0.7508287459843592,16.664414360095478,-47.51130489540292,8.79764547349283
3254,2024 10 19,05:24:37.107,-0.337627,0.658953,0.370265,0.560975,-0.946806,0.038575,-0.094729,0.671387,-2.075195,2.075195,0,0,-0.3375223297551378,0.660386686326865,0.3695559375809678,0.5598181041473834,-0.93826087235617,0.0333525451433538,-0.0876375239437656,0.9509569325425866,-1.2053623910550475,2.100235750330319,0.538821,0.659786,-0.210275,0.479728,-1.017609,1.22074,-0.363292,1.342773,-150.024414,132.568359,0,0,0.5747716263424173,0.632531535968188,-0.1603482365022006,0.4932211508932913,-0.4734478849630422,1.4598188859861057,-0.7314519086851412,15.898332292090704,-52.636960350632776,14.986181149818188
3255,2024 10 19,05:24:37.115,-0.337653,0.658724,0.370319,0.561192,-0.93997,0.039552,-0.0918,0.366211,-1.464844,1.647949,0,0,-0.3375288632673809,0.6603035520105217,0.3695940907019194,0.5598867989400141,-0.9383463287383615,0.0336625178861861,-0.0878456477465773,0.9217196359154572,-1.218336471502295,2.077621412813803,0.529716,0.663096,-0.226893,0.477729,-1.156285,1.199744,-0.209967,-10.192871,-158.203125,151.611328,0,0,0.5725188450252964,0.6340597591697786,-0.1636754746770906,0.4924465433486267,-0.50758974071489,1.4468151416868005,-0.7053776632508841,14.593772127486169,-57.91526858310114,21.81743849232728
3256,2024 10 19,05:24:37.123,-0.337687,0.658532,0.370353,0.561375,-0.942412,0.0459,-0.0918,0.305176,-1.342773,1.159668,0,0,-0.3375367701040118,0.6602149744099957,0.3696320361668234,0.5599612089930134,-0.9385496123014434,0.0342743919918768,-0.0880433653592484,0.8908924541196843,-1.2245582979271803,2.0317237421731127,0.529716,0.663096,-0.226893,0.477729,-1.156285,1.199744,-0.209967,-10.192871,-158.203125,151.611328,0,0,0.5703787027740316,0.6355115712112898,-0.1668363509432361,0.4917106661811954,-0.5400245036791455,1.43446158460246,-0.6806071300883398,13.35443997111186,-62.92966140394608,28.30713296771091
3257,2024 10 19,05:24:37.132,-0.337693,0.658413,0.370331,0.561525,-0.940947,0.039552,-0.100101,-0.366211,-0.610352,0.366211,0,0,-0.3375445815988112,0.6601248756894958,0.3696669843584822,0.5600393985433627,-0.9386694816863712,0.0345382723922829,-0.088646247091286,0.8280372814137,-1.1938479830308213,1.948448105064457,0.520091,0.665474,-0.245125,0.475986,-1.315958,1.155309,-0.066408,-19.165039,-161.682129,170.532227,0,0,0.56786431763533,0.6370096926507252,-0.1707507833960742,0.4909244328721356,-0.5788211784951881,1.4205039553723369,-0.6498971735839228,11.728466022556267,-67.86728478374877,35.41838766932536
3258,2024 10 19,05:24:37.140,-0.337693,0.658413,0.370331,0.561525,-0.940947,0.039552,-0.100101,-0.366211,-0.610352,0.366211,0,0,-0.3375520025188706,0.660039281905021,0.3697001851405581,0.5601136786161945,-0.9387833576020528,0.0347889587726688,-0.0892189847367217,0.768324867343015,-1.1646731838792803,1.8693362498112345,0.509807,0.666778,-0.264565,0.474879,-1.458541,1.094272,0.079592,-23.498535,-159.973145,189.880371,0,0,0.5649614517535634,0.6384981080181888,-0.1754414942262705,0.4901221612285288,-0.6228071695704287,1.40419235760372,-0.6134227149047267,9.967115971428452,-72.47257779456132,43.14148683585909
3259,2024 10 19,05:24:37.148,-0.337697,0.658342,0.370267,0.561648,-0.939482,0.041017,-0.101077,-0.854492,-0.12207,-0.061035,0,0,-0.3375592523929271,0.6599544178097699,0.3697285258835302,0.5601903946853848,-0.93881828972195,0.0351003608340353,-0.0898118854998856,0.6871840239758642,-1.1125430246853163,1.7728176873206725,0.498776,0.666979,-0.284732,0.474646,-1.603565,1.016144,0.221198,-24.291992,-152.893066,207.702637,0,0,0.5616521791658853,0.6399221526172795,-0.180906019514957,0.4893483531671024,-0.6718450610919072,1.3847899397235337,-0.5716916791594903,8.25416057285703,-76.49360220483325,51.369544344066135
3260,2024 10 19,05:24:37.157,-0.337681,0.658329,0.370189,0.561725,-0.935087,0.039552,-0.093753,-0.976563,0.549316,-0.671387,0,0,-0.3375653397732807,0.6598731469192813,0.3697515495893537,0.5602671249511155,-0.9386317252358524,0.0353229427923336,-0.0900089412248913,0.603996672777071,-1.0294500734510503,1.6506074529546386,0.486978,0.666123,-0.305034,0.475487,-1.699271,0.883328,0.317392,-21.179199,-142.822266,221.984863,0,0,0.557918470207591,0.6412321949864155,-0.1871124185392091,0.4886552855087472,-0.7232163580373119,1.359716842737357,-0.5272374952015156,6.782492594214178,-79.81003539459158,59.900310276862825
3261,2024 10 19,05:24:37.165,-0.337637,0.658346,0.370102,0.561789,-0.934599,0.035157,-0.090335,-1.159668,0.854492,-0.488281,0,0,-0.3375689227846166,0.6597967895733173,0.3697690721098859,0.5603432187035596,-0.93843008897406,0.0353146456527169,-0.0900252441636467,0.5158134391382174,-0.9352529697784978,1.5436630303069063,0.474447,0.664355,-0.325095,0.477331,-1.765191,0.727073,0.350597,-15.258789,-131.896973,232.849121,0,0,0.5537448966972114,0.6423883352370947,-0.1940115476122487,0.4880890712333098,-0.7753150901354462,1.3280846506004889,-0.4833457704414398,5.680428514503468,-82.414382274862,68.54775081301969
3262,2024 10 19,05:24:37.173,-0.33759,0.658364,0.370033,0.561841,-0.939482,0.034669,-0.090823,-1.098633,0.976563,-0.366211,0,0,-0.3375699766453858,0.6597251500946515,0.3697822685043916,0.5604181077683816,-0.9384826845253568,0.035282363370081,-0.0900651319554644,0.4350911171813065,-0.8396621712895729,1.4481693287915611,0.474447,0.664355,-0.325095,0.477331,-1.765191,0.727073,0.350597,-15.258789,-131.896973,232.849121,0,0,0.5497800018623508,0.6434866684752399,-0.2005657202316363,0.4875511676716443,-0.8248088856286738,1.2980340680704645,-0.4416486319193678,4.633467638778295,-84.8885118111189,76.7628193223687
3263,2024 10 19,05:24:37.182,-0.337538,0.658373,0.369969,0.561904,-0.938505,0.031739,-0.087405,-1.159668,0.854492,-0.183105,0,0,-0.3375683778131164,0.6596575425899189,0.369791605079172,0.5604924023799626,-0.9384838002990892,0.035105195201577,-0.0899321253576912,0.3553531613222412,-0.7549544627250941,1.366605612351983,0.46115,0.661876,-0.34466,0.480074,-1.79693,0.5674,0.369152,-6.469727,-122.253418,241.455078,0,0,0.5453485017692331,0.6444061350514778,-0.2077704342200544,0.4871773092880621,-0.8734149413472401,1.261502364666941,-0.4011086003233994,4.078307906839379,-86.75675712056295,84.99743225625025
3264,2024 10 19,05:24:37.190,-0.337538,0.658373,0.369969,0.561904,-0.938505,0.031739,-0.087405,-1.159668,0.854492,-0.183105,0,0,-0.3375668589224606,0.659593315460423,0.3698004748252134,0.5605629822609643,-0.9384848602841346,0.0349368854414981,-0.0898057690898066,0.2796021032561291,-0.6744821395888394,1.2891200817343835,0.44695,0.658895,-0.363588,0.483628,-1.840876,0.387707,0.396008,4.760742,-113.769531,248.596191,0,0,0.5404285766807714,0.6451305782989039,-0.2155613125090517,0.4869998438236589,-0.921787994279878,1.217812596433594,-0.3612527703072294,4.11242961149741,-88.10739581453481,93.17737019343774
3265,2024 10 19,05:24:37.198,-0.337481,0.658356,0.369933,0.561982,-0.935575,0.031251,-0.090823,-0.915527,0.671387,0.366211,0,0,-0.3375625659763375,0.6595314496874018,0.3698071010839527,0.5606339331479161,-0.9383393672699278,0.0347525911694232,-0.0898566306353163,0.2198456480933226,-0.6071886826093975,1.2429746276476643,0.431886,0.655492,-0.38165,0.488004,-1.857967,0.209967,0.397961,18.066406,-104.858398,253.479004,0,0,0.5350014478467328,0.6456486493839586,-0.2238657468835991,0.487050051632476,-0.968596944565884,1.167420316611914,-0.3232920817918679,4.810128430922539,-88.94494592380808,101.19245188376584
3266,2024 10 19,05:24:37.207,-0.337418,0.658309,0.36992,0.562083,-0.936064,0.030274,-0.089846,-0.854492,0.305176,0.671387,0,0,-0.3375553376775206,0.6594703272030317,0.369812746029755,0.5607063864905203,-0.9382255989064314,0.0345286616109521,-0.0898560991035505,0.1661287656886565,-0.5615704484789276,1.2143952462652814,0.415935,0.651912,-0.398619,0.493063,-1.876034,0.016602,0.405286,33.447266,-97.65625,254.638672,0,0,0.5290481254543962,0.6459618169147607,-0.2326034095394192,0.4873506990508522,-1.01396879733759,1.1098794007813184,-0.2868631777022745,6.241985309376412,-89.38051112761767,108.86476288957756
3267,2024 10 19,05:24:37.215,-0.337354,0.658231,0.369935,0.562203,-0.93704,0.033204,-0.086917,-0.549316,0.183105,1.220703,0,0,-0.3375452707936446,0.65940836084288,0.3698188587282673,0.5607812171659943,-0.9381663189611098,0.0344624285304045,-0.0897091441483729,0.1303565274042236,-0.5243366760549812,1.2147106339520173,0.399277,0.648326,-0.414141,0.498737,-1.877499,-0.190924,0.376965,49.987793,-89.172363,251.159668,0,0,0.5225595691816763,0.6460800260690226,-0.2416802890624482,0.4879200140983096,-1.0571453074707104,1.0448392307422525,-0.2536717688171607,8.429275693907591,-89.37010372123679,115.97950814509866
3268,2024 10 19,05:24:37.223,-0.337283,0.658116,0.369966,0.56236,-0.934111,0.028809,-0.08301,-0.610352,-0.244141,1.647949,0,0,-0.3375321572539624,0.6593437428007359,0.3698262157918539,0.5608601563076945,-0.9379635530130542,0.0341797571038842,-0.0893741869409543,0.0933211010340124,-0.5103268922522322,1.2363725522544164,0.3821,0.644909,-0.428027,0.504862,-1.850154,-0.412122,0.325205,65.979004,-82.519531,243.95752,0,0,0.5155365907225925,0.6460214747655715,-0.2509976246093258,0.4887671133933941,-1.096795742097175,0.9719911692051398,-0.2247279303763027,11.306762109212212,-89.02757508517495,122.37840873784371
3269,2024 10 19,05:24:37.232,-0.337197,0.65797,0.370033,0.562538,-0.934111,0.028809,-0.086428,-0.244141,-0.488281,2.197266,0,0,-0.3375153993912643,0.6592750556606991,0.3698365550022612,0.5609440484923097,-0.9377709253624016,0.03391121924869,-0.0892268775939066,0.0764479959823118,-0.5092245976396205,1.2844172246416956,0.3821,0.644909,-0.428027,0.504862,-1.850154,-0.412122,0.325205,65.979004,-82.519531,243.95752,0,0,0.5088647611864628,0.6459658510272929,-0.2598490933788595,0.4895718577237244,-1.1344636549923164,0.9027855107448828,-0.1972312838574875,14.0403742037516,-88.7021728809162,128.45736430095153
3270,2024 10 19,05:24:37.240,-0.337197,0.65797,0.370033,0.562538,-0.934111,0.028809,-0.086428,-0.244141,-0.488281,2.197266,0,0,-0.337499479421701,0.6592098028776642,0.3698463772521481,0.5610237460676941,-0.9375879290942812,0.0336561082862555,-0.0890869337142112,0.0604185461831962,-0.5081774177576394,1.330059663409611,0.364636,0.641781,-0.440211,0.511245,-1.803766,-0.688498,0.241707,79.956055,-75.683594,233.581543,0,0,0.5016533231271396,0.6457566084759282,-0.2688671887099165,0.4906555148375381,-1.1679287722427003,0.8232213352076387,-0.1752843696646131,17.33615824356402,-88.05124393687038,133.71357323590394
3271,2024 10 19,05:24:37.248,-0.337129,0.65776,0.370144,0.562751,-0.932646,0.030763,-0.095218,0.244141,-1.159668,2.929688,0,0,-0.337480955450616,0.659137312733781,0.3698612583895406,0.5611101087643093,-0.9373408326395672,0.0335114528719427,-0.0893934870285007,0.0696046688740364,-0.5407519468697574,1.41004108023913,0.34726,0.638956,-0.450674,0.517725,-1.735404,-1.038118,0.145512,90.759277,-68.908691,220.64209,0,0,0.4939336569707826,0.6454165780521317,-0.2779575292744206,0.4920089890956612,-1.196302533630565,0.7301543684472567,-0.1592445511813825,21.00731418138582,-87.09411629002686,138.05999907410873
3272,2024 10 19,05:24:37.257,-0.337064,0.657498,0.370315,0.562984,-0.936064,0.029298,-0.091311,0.671387,-1.342773,3.723145,0,0,-0.3374601076780852,0.6590553470970919,0.3698839454700636,0.5612038033260939,-0.9372769910075888,0.0333007802283456,-0.0894893626770756,0.0996937854303346,-0.5808529995262695,1.5256962762271735,0.330464,0.636486,-0.459481,0.523982,-1.603565,-1.514695,0.077639,95.275879,-62.561035,203.735352,0,0,0.4857601741222435,0.6449700491495252,-0.2870337028106996,0.4936076396408781,-1.2166656569490368,0.6179119000248938,-0.1474003736223133,24.72074242231653,-85.86746222552551,141.3437667204033
3273,2024 10 19,05:24:37.265,-0.33702,0.657174,0.370535,0.563244,-0.936064,0.030274,-0.081545,1.220703,-1.89209,4.272461,0,0,-0.3374381022941809,0.6589612797422373,0.3699164981965603,0.5613058131597892,-0.9372163414572094,0.0331494412169283,-0.0890921445432218,0.1557442461588178,-0.646414849549956,1.6630345124158148,0.314978,0.634269,-0.466848,0.529665,-1.476119,-2.044496,0.018067,90.576172,-54.931641,184.082031,0,0,0.4772210654161313,0.644434996692049,-0.2960244176701646,0.4954105076588342,-1.229638324101585,0.4847915050236491,-0.1391270049411977,28.0135139012007,-84.32067116424923,143.48067993438312
